epoch,loss
0,0.250114
1,0.250107
2,0.250101
3,0.250095
4,0.250090
5,0.250086
6,0.250082
7,0.250078
8,0.250075
9,0.250071
10,0.250068
11,0.250064
12,0.250061
13,0.250058
14,0.250055
15,0.250052
16,0.250049
17,0.250046
18,0.250043
19,0.250040
20,0.250037
21,0.250034
22,0.250031
23,0.250028
24,0.250025
25,0.250022
26,0.250019
27,0.250016
28,0.250013
29,0.250010
30,0.250007
31,0.250004
32,0.250001
33,0.249998
34,0.249995
35,0.249993
36,0.249990
37,0.249987
38,0.249984
39,0.249981
40,0.249978
41,0.249975
42,0.249973
43,0.249970
44,0.249967
45,0.249964
46,0.249961
47,0.249959
48,0.249956
49,0.249953
50,0.249950
51,0.249947
52,0.249945
53,0.249942
54,0.249939
55,0.249936
56,0.249933
57,0.249931
58,0.249928
59,0.249925
60,0.249922
61,0.249920
62,0.249917
63,0.249914
64,0.249911
65,0.249909
66,0.249906
67,0.249903
68,0.249901
69,0.249898
70,0.249895
71,0.249892
72,0.249890
73,0.249887
74,0.249884
75,0.249882
76,0.249879
77,0.249876
78,0.249874
79,0.249871
80,0.249868
81,0.249865
82,0.249863
83,0.249860
84,0.249857
85,0.249855
86,0.249852
87,0.249849
88,0.249847
89,0.249844
90,0.249841
91,0.249839
92,0.249836
93,0.249833
94,0.249831
95,0.249828
96,0.249825
97,0.249823
98,0.249820
99,0.249817
100,0.249815
101,0.249812
102,0.249809
103,0.249807
104,0.249804
105,0.249801
106,0.249799
107,0.249796
108,0.249793
109,0.249791
110,0.249788
111,0.249786
112,0.249783
113,0.249780
114,0.249778
115,0.249775
116,0.249772
117,0.249770
118,0.249767
119,0.249764
120,0.249762
121,0.249759
122,0.249756
123,0.249754
124,0.249751
125,0.249748
126,0.249746
127,0.249743
128,0.249740
129,0.249738
130,0.249735
131,0.249732
132,0.249730
133,0.249727
134,0.249724
135,0.249722
136,0.249719
137,0.249716
138,0.249714
139,0.249711
140,0.249708
141,0.249706
142,0.249703
143,0.249700
144,0.249697
145,0.249695
146,0.249692
147,0.249689
148,0.249687
149,0.249684
150,0.249681
151,0.249678
152,0.249676
153,0.249673
154,0.249670
155,0.249668
156,0.249665
157,0.249662
158,0.249659
159,0.249657
160,0.249654
161,0.249651
162,0.249648
163,0.249646
164,0.249643
165,0.249640
166,0.249637
167,0.249635
168,0.249632
169,0.249629
170,0.249626
171,0.249623
172,0.249621
173,0.249618
174,0.249615
175,0.249612
176,0.249609
177,0.249606
178,0.249604
179,0.249601
180,0.249598
181,0.249595
182,0.249592
183,0.249589
184,0.249587
185,0.249584
186,0.249581
187,0.249578
188,0.249575
189,0.249572
190,0.249569
191,0.249566
192,0.249563
193,0.249561
194,0.249558
195,0.249555
196,0.249552
197,0.249549
198,0.249546
199,0.249543
200,0.249540
201,0.249537
202,0.249534
203,0.249531
204,0.249528
205,0.249525
206,0.249522
207,0.249519
208,0.249516
209,0.249513
210,0.249510
211,0.249507
212,0.249504
213,0.249501
214,0.249498
215,0.249495
216,0.249492
217,0.249488
218,0.249485
219,0.249482
220,0.249479
221,0.249476
222,0.249473
223,0.249470
224,0.249467
225,0.249463
226,0.249460
227,0.249457
228,0.249454
229,0.249451
230,0.249447
231,0.249444
232,0.249441
233,0.249438
234,0.249435
235,0.249431
236,0.249428
237,0.249425
238,0.249421
239,0.249418
240,0.249415
241,0.249412
242,0.249408
243,0.249405
244,0.249402
245,0.249398
246,0.249395
247,0.249391
248,0.249388
249,0.249385
250,0.249381
251,0.249378
252,0.249374
253,0.249371
254,0.249367
255,0.249364
256,0.249360
257,0.249357
258,0.249353
259,0.249350
260,0.249346
261,0.249343
262,0.249339
263,0.249336
264,0.249332
265,0.249329
266,0.249325
267,0.249321
268,0.249318
269,0.249314
270,0.249310
271,0.249307
272,0.249303
273,0.249299
274,0.249296
275,0.249292
276,0.249288
277,0.249284
278,0.249281
279,0.249277
280,0.249273
281,0.249269
282,0.249265
283,0.249261
284,0.249258
285,0.249254
286,0.249250
287,0.249246
288,0.249242
289,0.249238
290,0.249234
291,0.249230
292,0.249226
293,0.249222
294,0.249218
295,0.249214
296,0.249210
297,0.249206
298,0.249202
299,0.249198
300,0.249194
301,0.249189
302,0.249185
303,0.249181
304,0.249177
305,0.249173
306,0.249168
307,0.249164
308,0.249160
309,0.249156
310,0.249151
311,0.249147
312,0.249143
313,0.249138
314,0.249134
315,0.249130
316,0.249125
317,0.249121
318,0.249116
319,0.249112
320,0.249107
321,0.249103
322,0.249098
323,0.249094
324,0.249089
325,0.249085
326,0.249080
327,0.249075
328,0.249071
329,0.249066
330,0.249061
331,0.249057
332,0.249052
333,0.249047
334,0.249042
335,0.249038
